Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Debt to equity,Return on equity,Return on invested capital,EVEBITDA,Sales,Sales growth 5Years,Profit after tax,Profit growth 5Years,Operating profit,NPM last year,Reserves,Debt,Capital work in progress,Inventory,Trade receivables,Total Assets,Cash from operations last year,Free cash flow last year,Free cash flow 3years,Free cash flow 5years,Promoter holding,Pledged percentage,Dividend yield,Change in DII holding 3Years,Change in FII holding 3Years,Return over 1year,Return over 3years,Return over 5years,Return over 7years,Return over 10years,DMA 50,DMA 200
Aditya Vision,540205,AVL,Trading,414.35,5331.17,50.54,0.82,19.71,12.61,26.86,2259.77,23.18,105.49,49.72,204.06,4.67,570.79,480.41,6.25,698.16,0.31,1223.43,-40.82,-77.86,-129.62,-115.48,53.23,0.00,0.22,9.87,16.64,29.51,77.57,199.60,76.76,,429.67,437.05
Affle 3i,542752,AFFLE,Computers - Software - Medium / Small,1676.00,23547.17,61.68,0.03,14.03,13.30,38.54,2266.31,46.68,381.87,42.26,483.16,16.85,2918.39,82.10,0.00,0.00,298.56,3621.77,425.99,266.11,580.90,766.85,55.02,0.00,0.00,8.94,0.69,41.15,21.41,40.35,,,1599.80,1533.97
Ami Organics,543349,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1187.75,9724.01,61.25,0.01,16.00,14.13,38.10,1006.88,33.26,158.71,41.40,232.07,15.93,1268.69,12.93,130.28,179.94,290.49,1549.26,118.34,-76.30,-262.35,-384.65,35.96,0.00,0.13,12.68,14.25,91.38,39.80,,,,1152.63,1018.04
Anand Rathi Wea.,543415,ANANDRATHI,Finance & Investments,1937.55,16085.64,53.64,0.12,45.33,58.16,36.49,939.09,22.85,299.83,37.33,400.24,32.03,632.46,79.30,0.00,0.00,35.45,961.36,244.05,208.28,552.86,662.88,47.29,4.32,0.54,-2.81,3.83,-6.04,81.68,,,,1807.18,1843.64
Artemis Medicare,542919,ARTEMISMED,Healthcare,278.60,3870.66,46.37,0.33,12.91,9.82,20.56,913.26,10.15,83.46,32.43,149.83,9.14,828.04,280.49,38.72,9.33,92.86,1343.11,139.08,46.23,77.35,33.75,67.17,44.53,0.16,3.94,0.31,57.46,87.93,77.86,,,261.50,262.56
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,9218.00,572832.92,34.37,3.74,19.19,11.29,19.29,69683.51,21.45,16637.82,25.87,47672.33,24.08,96568.70,361248.65,26.74,0.00,1913.11,466126.83,-68154.47,-69199.90,-185929.23,-224739.53,54.73,0.00,0.48,3.56,0.04,33.43,15.23,36.24,23.28,36.06,8882.22,7998.77
Bharti Airtel,532454,BHARTIARTL,Telecommunications - Service Provider,1856.00,1113191.64,40.18,1.88,28.34,15.68,13.31,172985.20,14.59,27731.02,30.58,93159.20,17.91,110771.80,213642.10,10596.20,451.70,7455.70,514360.40,98332.20,58990.50,136834.60,186921.50,52.42,0.00,0.43,-0.27,6.05,34.48,39.15,27.73,27.39,17.00,1791.61,1636.05
Bharti Hexacom,544162,BHARTIHEXA,Telecommunications - Service Provider,1823.00,91150.00,67.99,1.24,25.35,16.49,22.49,8547.90,17.15,1339.92,35.29,4197.20,15.68,5682.10,7352.80,297.30,0.00,108.30,19251.00,4582.60,3104.30,8772.00,8760.20,70.00,0.00,0.23,,,74.85,,,,,1586.74,1392.90
Bikaji Foods,543653,BIKAJI,Food - Processing - Indian,736.80,18463.65,95.01,0.17,14.94,12.76,51.16,2621.85,19.53,194.35,27.88,328.25,7.41,1358.13,230.94,95.74,107.94,100.88,1936.72,193.46,72.48,276.45,269.54,74.92,0.00,0.14,,,32.22,,,,,703.05,709.69
BLS Internat.,540073,BLS,Computers - Software - Medium / Small,414.45,17064.59,33.56,0.21,34.59,26.98,23.50,2193.30,22.78,508.23,45.99,629.34,24.60,1689.66,359.06,10.75,0.49,121.74,2805.76,828.83,667.62,1146.54,1290.06,70.38,0.00,0.24,2.26,8.58,28.20,62.65,120.78,35.86,,382.15,386.40
